10
(14.7184, 14.7621)
57
(15.5716, 14.6058)
(16.393, 15.3711)
(15.6655, 16.4593)
(11.719, 16.3489)
(14.3266, 16.2944)
(15.8725, 16.2994)
(16.0337, 14.2097)
(16.8007, 12.9757)
(12.6175, 16.7395)
(13.2019, 14.7868)
(15.5249, 16.76)
(17.1811, 13.1898)
(12.7907, 14.324)
(14.587, 12.0362)
(17.2129, 17.1491)
(14.0782, 15.836)
(15.1845, 14.7488)
(12.5593, 14.7414)
(14.3762, 13.5125)
(14.9439, 13.566)
(15.0909, 13.4124)
(13.7325, 15.835)
(11.8346, 17.4516)
(15.3762, 13.6223)
(15.7486, 13.4807)
(13.8182, 15.5783)
(15.2189, 15.8598)
(14.6681, 15.5173)
(15.1811, 12.2355)
(12.1425, 14.8379)
(17.0933, 15.5348)
(16.2495, 16.1844)
(15.8759, 12.3949)
(13.5377, 15.1029)
(17.0827, 13.7922)
(14.2051, 13.6153)
(15.1009, 14.1029)
(16.7992, 12.8116)
(15.9833, 12.9673)
(11.6492, 17.4712)
(14.0443, 15.4902)
(16.0115, 13.7023)
(17.1766, 14.102)
(14.9029, 12.8248)
(16.0714, 15.2018)
(14.8031, 17.2734)
(16.272, 15.2262)
(13.4499, 13.027)
(12.4538, 14.2084)
(14.6269, 15.1997)
(17.3226, 12.5842)
(12.7278, 13.5419)
(14.8583, 16.448)
(11.8116, 15.2368)
(12.1123, 16.5062)
(12.3901, 16.8971)
(14.8853, 12.2084)
(6.2001, 4.30427)
29
(5.69959, 6.69996)
(6.11362, 6.06769)
(6.11735, 3.50493)
(5.62999, 5.07625)
(4.77863, 3.34112)
(6.8109, 5.3137)
(6.04338, 3.00625)
(7.89138, 2.82565)
(6.71185, 5.72907)
(7.814, 3.66931)
(4.83796, 3.72697)
(5.18459, 5.75254)
(5.09147, 4.43689)
(5.27266, 3.68532)
(6.73318, 5.60317)
(7.53235, 3.83818)
(7.60724, 3.54793)
(5.26358, 2.96002)
(7.33301, 5.83918)
(6.93672, 3.13619)
(5.5214, 5.36875)
(7.6738, 2.75401)
(5.00963, 4.01051)
(4.28688, 2.66155)
(6.8776, 5.78556)
(7.18858, 5.70469)
(6.16641, 3.30579)
(5.87341, 4.58626)
(5.80165, 2.88646)
(5.24011, 10.9268)
64
(3.65152, 11.9713)
(5.32954, 10.4935)
(4.46807, 8.32132)
(6.90367, 12.732)
(2.6699, 13.8024)
(4.13096, 10.0793)
(3.26109, 10.3974)
(5.51968, 11.0529)
(4.74132, 8.3834)
(5.44147, 8.4382)
(6.04186, 11.6635)
(4.44689, 9.30676)
(4.4666, 8.07472)
(5.62842, 10.974)
(5.80035, 10.4292)
(6.52426, 12.0881)
(3.43759, 12.7735)
(4.0817, 10.6555)
(7.80241, 11.3019)
(5.2484, 8.6638)
(4.3853, 12.7737)
(3.87199, 12.5041)
(4.50007, 8.06374)
(6.67401, 9.67324)
(5.07679, 8.68394)
(5.35084, 9.87565)
(5.41939, 12.8014)
(7.4839, 11.2055)
(4.66455, 8.59302)
(2.73109, 10.9661)
(3.8539, 12.7581)
(5.65757, 13.4154)
(7.24147, 11.2668)
(5.82144, 10.3735)
(7.88544, 11.2279)
(5.01122, 9.84854)
(6.56395, 10.6347)
(6.16151, 13.1574)
(6.88992, 12.9058)
(4.09909, 11.9491)
(6.50915, 9.43213)
(5.64139, 12.9129)
(4.99312, 10.9789)
(2.75539, 12.5266)
(5.77184, 9.90359)
(3.60128, 12.5278)
(4.46473, 10.8955)
(4.39936, 10.5488)
(6.1055, 10.454)
(5.12276, 13.0073)
(6.98979, 12.4883)
(6.27913, 10.7367)
(6.24514, 11.059)
(5.56909, 9.46049)
(5.32015, 9.51838)
(4.94848, 8.52289)
(7.24475, 10.3789)
(2.58825, 10.7435)
(5.53462, 10.7569)
(5.68942, 11.236)
(6.3063, 12.7172)
(2.80105, 10.0132)
(4.71125, 12.3414)
(6.83598, 11.8729)
(3.4368, 5.16604)
33
(4.00018, 4.47979)
(3.65863, 5.12479)
(3.13453, 5.02055)
(3.28929, 5.46088)
(3.0747, 7.00436)
(2.84687, 8.02717)
(3.21503, 4.36254)
(4.23211, 4.13626)
(4.33235, 6.257)
(3.97018, 2.77453)
(2.93944, 5.71904)
(3.05365, 3.21776)
(3.70336, 7.74067)
(3.33091, 2.77675)
(3.11352, 6.30171)
(3.27901, 5.17732)
(2.62323, 5.25413)
(3.49761, 3.85114)
(4.37343, 5.38802)
(2.68271, 7.22038)
(2.74621, 7.43809)
(3.22886, 5.49517)
(2.76481, 4.30414)
(2.90916, 4.63522)
(3.8994, 5.27805)
(4.73095, 4.64325)
(3.44989, 5.78131)
(2.78755, 5.58948)
(4.84268, 5.85262)
(3.70304, 3.00185)
(4.07785, 3.64801)
(3.31555, 2.72625)
(2.60759, 6.79106)
(14.9733, 4.66)
60
(15.0186, 4.58796)
(13.1573, 4.77863)
(16.4493, 4.23727)
(14.0176, 3.54523)
(13.088, 6.26082)
(16.3859, 5.06692)
(16.6827, 4.27615)
(16.1794, 3.98273)
(15.3854, 2.5033)
(14.9691, 4.38474)
(15.5834, 4.63401)
(16.6963, 3.8015)
(14.49, 3.981)
(17.2458, 5.35632)
(14.3709, 3.35813)
(14.335, 4.60183)
(14.6948, 6.5321)
(14.5993, 3.11458)
(14.1931, 3.17611)
(15.9792, 5.02276)
(16.5098, 5.16946)
(14.8823, 3.61515)
(13.9515, 3.55399)
(13.1765, 6.69599)
(15.0496, 5.16907)
(17.0773, 5.89984)
(16.0637, 2.98802)
(14.6957, 5.20967)
(14.296, 5.3356)
(13.5237, 5.15977)
(14.5653, 4.97092)
(13.2322, 5.18811)
(13.655, 2.69479)
(14.2195, 4.27614)
(15.2218, 4.50208)
(13.8433, 6.0609)
(14.5672, 3.81879)
(15.3866, 6.01751)
(16.0817, 4.89873)
(16.0062, 5.6193)
(13.6352, 5.96395)
(13.5324, 3.28499)
(12.8587, 5.21699)
(15.1731, 5.31617)
(16.3161, 3.02208)
(14.1898, 6.22016)
(14.7535, 2.99683)
(13.9457, 3.79916)
(14.2189, 5.54927)
(13.8048, 4.06548)
(16.7733, 5.02766)
(13.4845, 6.93253)
(16.1338, 6.21832)
(14.8777, 3.34534)
(16.4327, 4.27483)
(14.7843, 4.68128)
(14.1524, 4.08745)
(16.9561, 3.37949)
(15.7691, 5.56384)
(17.0784, 6.60805)
(15.2393, 9.2809)
61
(15.6297, 7.51594)
(16.1871, 7.60236)
(16.7751, 11.0578)
(14.6535, 8.76412)
(13.8381, 9.33538)
(14.6875, 8.35023)
(13.7346, 10.4141)
(16.3343, 9.65299)
(14.5387, 9.59565)
(15.0393, 7.40941)
(13.7402, 7.71066)
(15.2075, 7.78784)
(14.764, 11.3262)
(16.6848, 10.6823)
(17.4596, 11.9169)
(15.5701, 9.11205)
(16.0737, 8.40972)
(13.4168, 9.80018)
(15.2821, 11.858)
(14.2416, 7.40768)
(15.644, 9.72109)
(15.2477, 11.3202)
(16.8634, 9.53214)
(15.8948, 10.1917)
(16.553, 11.3245)
(15.3091, 9.73321)
(15.0188, 7.39227)
(14.2931, 7.1011)
(15.6841, 9.55804)
(12.6216, 9.66664)
(15.6191, 10.4581)
(15.6431, 9.06973)
(15.4157, 8.60161)
(16.9491, 8.11496)
(15.2908, 10.4204)
(13.2034, 7.58873)
(15.9091, 7.3955)
(16.6318, 10.3915)
(14.7337, 8.62165)
(12.9232, 9.55132)
(14.2376, 7.7827)
(16.1028, 9.29863)
(12.992, 10.3729)
(14.6027, 11.0028)
(14.0665, 8.50263)
(17.3481, 7.77592)
(17.4291, 8.0851)
(12.778, 9.48803)
(17.3474, 8.1581)
(12.7827, 9.69211)
(14.4987, 9.87559)
(17.0346, 9.47733)
